,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,closest school,schools within mile,closest restaurant,restaurants within mile,closest grocery,groceries within mile
0,-1460634072,2014-10-13,221900.0,3,1.0,1180,5650,1.0,,0.0,3.0,7,1180,0.0,1955,0.0,98178.0,47.5112,-122.257,1340,5650,0.1585214528500071,4,0.6314050043476164,9,0.810739997634111,1
1,2119132896,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3.0,7,2170,400.0,1951,1991.0,98125.0,47.721000000000004,-122.319,1690,7639,0.2979791803630438,7,0.4484369354182663,12,1.188117279979308,0
2,1336533104,2015-02-25,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3.0,6,770,0.0,1933,,98028.0,47.7379,-122.23299999999999,2720,8062,0.13157442938536315,3,0.8716361022005619,2,2.3387883450154794,0
3,-1807766421,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5.0,7,1050,910.0,1965,0.0,98136.0,47.5208,-122.39299999999999,1360,5000,1.1648444309281456,0,0.1454264958132038,3,1.6204752787511727,0
4,1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3.0,8,1680,0.0,1987,0.0,98074.0,47.6168,-122.045,1800,7503,0.7616222394765191,3,0.5027886697427759,8,0.6595184905051988,1
5,-1352384282,2014-05-12,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,3.0,11,3890,1530.0,2001,0.0,98053.0,47.6561,-122.005,4760,101930,1.9291047823709788,0,1.8355852617942556,0,3.311142122495947,0
6,1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3.0,7,1715,?,1995,0.0,98003.0,47.3097,-122.32700000000001,2238,6819,0.6948825440738722,1,0.401779900022655,16,1.1662266630316305,0
7,2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0.0,,3.0,7,1060,0.0,1963,0.0,98198.0,47.4095,-122.315,1650,9711,0.4233083804310893,5,0.5475119162435924,8,0.5990926767514506,3
8,-1880367170,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3.0,7,1050,730.0,1960,0.0,98146.0,47.5123,-122.337,1780,8113,0.4105920358064383,4,0.4129661872090209,4,1.1394778091242779,0
9,-501467136,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3.0,7,1890,0.0,2003,0.0,98038.0,47.3684,-122.031,2390,7570,0.5339154175511296,3,1.5755619650993296,0,1.6449896412557825,0
10,1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,,0.0,3.0,8,1860,1700.0,1965,0.0,98007.0,47.6007,-122.145,2210,8925,0.23032714798086515,7,0.3301955102826559,16,0.6597751402654706,1
11,622965668,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4.0,7,860,300.0,1942,0.0,98115.0,47.69,-122.292,1330,6000,0.2905194243272826,8,0.10350814316329435,4,1.7296709288359868,0
12,114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4.0,7,1430,0.0,1927,,98028.0,47.7558,-122.229,1780,12697,0.6405183930660584,1,0.5776125224503489,5,1.5654560862423696,0
13,1759682774,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4.0,7,1370,0.0,1977,0.0,98074.0,47.6127,-122.045,1370,10208,0.8075523302640283,2,0.5618070112493558,8,0.6504057462217001,1
14,1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3.0,7,1810,0.0,1900,0.0,98107.0,47.67,-122.39399999999999,1360,4850,0.26438612703319464,3,0.10671796928476875,40,0.5085835844896983,1
15,707365463,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3.0,9,1980,970.0,1979,0.0,98126.0,47.5714,-122.375,2140,4000,0.6984817987950168,7,0.25252654914780165,28,0.9209049822008263,2
16,1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3.0,7,1890,0.0,1994,0.0,98019.0,47.7277,-121.962,1890,14018,0.7696859300648053,2,0.8446438679617438,4,1.6958592789491158,0
17,-1724734452,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4.0,7,1600,0.0,1916,0.0,98103.0,47.6648,-122.34299999999999,1610,4300,0.18241501466727786,9,0.13169272871074145,26,0.48107512379727213,3
18,16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4.0,7,1200,?,1921,0.0,98002.0,47.3089,-122.21,1060,5095,0.1801731722984791,7,0.22425497277023512,22,0.18566024474675102,3
19,-606734532,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4.0,7,1250,0.0,1969,0.0,98003.0,47.3343,-122.306,1280,8850,0.28333743786651816,5,0.460625509134585,10,0.8137547659864612,2
20,2005533579,2014-05-14,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4.0,7,860,760.0,1947,0.0,98133.0,47.7025,-122.34100000000001,1400,4980,0.5124754471357064,5,0.10095142953844537,21,0.8638872424133596,2
21,-1770918117,2014-08-26,2000000.0,3,2.75,3050,44867,1.0,0.0,4.0,3.0,9,2330,720.0,1968,0.0,98040.0,47.5316,-122.23299999999999,4110,20336,0.25475124323621523,2,0.7975098026373506,1,2.0975666706298637,0
22,-1451964252,2014-07-03,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3.0,8,2270,0.0,1995,0.0,98092.0,47.3266,-122.169,2240,7005,0.3811716914023332,5,0.2748138911992283,2,2.821726379654388,0
